,ring,Year,SiteID,Winter.Wheat,Lentils,Peas,Barley,Spring.Wheat,Pasture.Grass,Developed.Open.Space,Evergreen.Forests,Dry.Beans,Fallow.Idle.Cropland,Developed.Low.Intensity,Grassland.Herbaceous,Shrubland,Oats,Herbaceous.Wetlands,Sod.Grass.Seed,Alfafa,Deciduous.Forest,Pasture.Hay,Other.Hay.Non.Alfalfa,Developed.Med.Intensity,Apples,Open.Water,Developed.High.Intensity,Triticale,Canola,Sweet.Corn,Potatoes,Asparagus,Corn,Sugar.Beets,Watermelon,Woodly.Wetlands,Grapes,Flaxseed,Herbs,Cherries,Carrots,Other.Crops,Barren,Sunflower,Rapeseed,
17,4000,2011,3,0.412639507,#N/A,#N/A,#N/A,0.347095045,0.003725281,0.012381652,#N/A,#N/A,0.219554822,#N/A,#N/A,0.003944415,#N/A,0.000659277,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
18,3500,2011,3,0.384363684,#N/A,#N/A,#N/A,0.372602374,0.004258897,0.01192807,#N/A,#N/A,0.221736299,#N/A,#N/A,0.004258897,#N/A,0.000851779,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
19,3000,2011,3,0.35333305,#N/A,#N/A,#N/A,0.409684369,0.005790517,0.01389724,#N/A,#N/A,0.210346205,#N/A,#N/A,0.005790517,#N/A,0.001158103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
20,2500,2011,3,0.3012329,#N/A,#N/A,#N/A,0.473241996,0.008338592,0.01738281,#N/A,#N/A,0.190201113,#N/A,#N/A,0.00793487,#N/A,0.001667718,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
21,2000,2011,3,0.208271979,#N/A,#N/A,#N/A,0.606108986,0.007963973,0.021495165,#N/A,#N/A,0.150948056,#N/A,#N/A,0.002605921,#N/A,0.002605921,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
22,1500,2011,3,0.089008657,#N/A,#N/A,#N/A,0.812612497,0.009043019,0.015293826,#N/A,#N/A,0.072808081,#N/A,#N/A,0,#N/A,0.00123392,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
23,1000,2011,3,0.073120295,#N/A,#N/A,#N/A,0.926488541,0,0,#N/A,#N/A,0.000391164,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
24,500,2011,3,0.040341035,#N/A,#N/A,#N/A,0.959658965,0,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
25,4000,2011,4,0.412639507,#N/A,#N/A,#N/A,0.347095045,0.003725281,0.012381652,#N/A,#N/A,0.219554822,#N/A,#N/A,0.003944415,#N/A,0.000659277,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
26,3500,2011,4,0.384363684,#N/A,#N/A,#N/A,0.372602374,0.004258897,0.01192807,#N/A,#N/A,0.221736299,#N/A,#N/A,0.004258897,#N/A,0.000851779,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
27,3000,2011,4,0.35333305,#N/A,#N/A,#N/A,0.409684369,0.005790517,0.01389724,#N/A,#N/A,0.210346205,#N/A,#N/A,0.005790517,#N/A,0.001158103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
28,2500,2011,4,0.3012329,#N/A,#N/A,#N/A,0.473241996,0.008338592,0.01738281,#N/A,#N/A,0.190201113,#N/A,#N/A,0.00793487,#N/A,0.001667718,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
29,2000,2011,4,0.208271979,#N/A,#N/A,#N/A,0.606108986,0.007963973,0.021495165,#N/A,#N/A,0.150948056,#N/A,#N/A,0.002605921,#N/A,0.002605921,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
30,1500,2011,4,0.089008657,#N/A,#N/A,#N/A,0.812612497,0.009043019,0.015293826,#N/A,#N/A,0.072808081,#N/A,#N/A,0,#N/A,0.00123392,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
31,1000,2011,4,0.073120295,#N/A,#N/A,#N/A,0.926488541,0,0,#N/A,#N/A,0.000391164,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
32,500,2011,4,0.040341035,#N/A,#N/A,#N/A,0.959658965,0,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
33,4000,2011,5,0.412639507,#N/A,#N/A,#N/A,0.347095045,0.003725281,0.012381652,#N/A,#N/A,0.219554822,#N/A,#N/A,0.003944415,#N/A,0.000659277,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
34,3500,2011,5,0.384363684,#N/A,#N/A,#N/A,0.372602374,0.004258897,0.01192807,#N/A,#N/A,0.221736299,#N/A,#N/A,0.004258897,#N/A,0.000851779,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
35,3000,2011,5,0.35333305,#N/A,#N/A,#N/A,0.409684369,0.005790517,0.01389724,#N/A,#N/A,0.210346205,#N/A,#N/A,0.005790517,#N/A,0.001158103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
36,2500,2011,5,0.3012329,#N/A,#N/A,#N/A,0.473241996,0.008338592,0.01738281,#N/A,#N/A,0.190201113,#N/A,#N/A,0.00793487,#N/A,0.001667718,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
37,2000,2011,5,0.208271979,#N/A,#N/A,#N/A,0.606108986,0.007963973,0.021495165,#N/A,#N/A,0.150948056,#N/A,#N/A,0.002605921,#N/A,0.002605921,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
38,1500,2011,5,0.089008657,#N/A,#N/A,#N/A,0.812612497,0.009043019,0.015293826,#N/A,#N/A,0.072808081,#N/A,#N/A,0,#N/A,0.00123392,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
39,1000,2011,5,0.073120295,#N/A,#N/A,#N/A,0.926488541,0,0,#N/A,#N/A,0.000391164,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
40,500,2011,5,0.040341035,#N/A,#N/A,#N/A,0.959658965,0,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
41,4000,2011,6,0.412639507,#N/A,#N/A,#N/A,0.347095045,0.003725281,0.012381652,#N/A,#N/A,0.219554822,#N/A,#N/A,0.003944415,#N/A,0.000659277,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
42,3500,2011,6,0.384363684,#N/A,#N/A,#N/A,0.372602374,0.004258897,0.01192807,#N/A,#N/A,0.221736299,#N/A,#N/A,0.004258897,#N/A,0.000851779,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
43,3000,2011,6,0.35333305,#N/A,#N/A,#N/A,0.409684369,0.005790517,0.01389724,#N/A,#N/A,0.210346205,#N/A,#N/A,0.005790517,#N/A,0.001158103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
44,2500,2011,6,0.3012329,#N/A,#N/A,#N/A,0.473241996,0.008338592,0.01738281,#N/A,#N/A,0.190201113,#N/A,#N/A,0.00793487,#N/A,0.001667718,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
45,2000,2011,6,0.208271979,#N/A,#N/A,#N/A,0.606108986,0.007963973,0.021495165,#N/A,#N/A,0.150948056,#N/A,#N/A,0.002605921,#N/A,0.002605921,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
46,1500,2011,6,0.089008657,#N/A,#N/A,#N/A,0.812612497,0.009043019,0.015293826,#N/A,#N/A,0.072808081,#N/A,#N/A,0,#N/A,0.00123392,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
47,1000,2011,6,0.073120295,#N/A,#N/A,#N/A,0.926488541,0,0,#N/A,#N/A,0.000391164,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
48,500,2011,6,0.040341035,#N/A,#N/A,#N/A,0.959658965,0,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
49,4000,2011,7,0.465112036,#N/A,#N/A,#N/A,0.021147748,0.46379632,0.014539433,#N/A,#N/A,0.000661454,0.000661454,0.000661454,0.0334201,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
50,3500,2011,7,0.457326123,#N/A,#N/A,#N/A,0.024484897,0.47214355,0.014414873,#N/A,#N/A,0.000291173,0.000854447,0.000854447,0.029630489,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
51,3000,2011,7,0.450795718,#N/A,#N/A,#N/A,0.026704159,0.476158797,0.014140691,#N/A,#N/A,0,0.001161731,0.001161731,0.029877174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
52,2500,2011,7,0.445169963,#N/A,#N/A,#N/A,0.024672379,0.480400271,0.0162385,#N/A,#N/A,0,0.001672942,0.001672942,0.030173003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
53,2000,2011,7,0.431763714,#N/A,#N/A,#N/A,0.028762815,0.472051997,0.020367969,#N/A,#N/A,0,0.002614084,0.002614084,0.041825338,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
54,1500,2011,7,0.41773386,#N/A,#N/A,#N/A,0.028901592,0.459547058,0.025720709,#N/A,#N/A,0,0.004647591,0.004346939,0.059102251,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
55,1000,2011,7,0.379587343,#N/A,#N/A,#N/A,0.041512655,0.459257518,0.040978789,#N/A,#N/A,0,0.01045861,0,0.068205085,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
56,500,2011,7,0.260777448,#N/A,#N/A,#N/A,0.082699413,0.516593648,0,#N/A,#N/A,0,0,0,0.139929491,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
57,4000,2011,8,0.319957391,0.059425659,0.007099083,0.007084732,0.320462916,0.029196401,0.021706337,#N/A,0.229089951,0.00199251,#N/A,#N/A,0.00066417,#N/A,#N/A,0.00066417,0.00066417,0.00199251,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
58,3500,2011,8,0.296541894,0.056399015,0.006874851,0.008604097,0.334513037,0.027638764,0.025053157,#N/A,0.23861358,0.001449746,#N/A,#N/A,0.00086041,#N/A,#N/A,9.81007E-06,0.00086041,0.002581229,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
59,3000,2011,8,0.261734633,0.062202403,0.003239073,0.010528537,0.35060532,0.031585611,0.029783808,#N/A,0.243936203,0.001169837,#N/A,#N/A,0.001169837,#N/A,#N/A,0,0.000535226,0.003509512,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
