"site_year","Year","SiteID.x","State","County","Town","Zone","Crop","Date","cdd","cp","cdd2","cp2","Lat","Long","WDn","WLDn","TotDn","WSg","WLSg","Totsg","WRp","WlRp","TotRp","Wsa","Wlsa","TotSa","WMd","WlMd","TotMd","WRm","WlRm","TotRm","WMfc","MlMfc","TotMfc","Wse","WlSe","TotSe","WAm","WlAm","TotAm","Wri","WlRi","TotRi","TotAph.N","Nymph","TotAph","OThers","X","ring","SiteID.y","X21","X52","X53","X24","X42","X23","X62","X121","X142","X122","X171","X61","X152","X195","X59","X36","X141","X37","X181","X68","X123","X124","X28","X205","X31","X49","X12","X43","X57","X1","X206","X66","X69","X32","X207","X41","X190","X44","X131","X111","X6","X34","X176","X38","X229","X33","X35","X143","X58","X71","X242","X220","X27","X14"
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,11,3000,"2011_2",0.0225595993380199,0.00419975091018318,0.0128845661375764,0.362344748827168,0.16158599728703,0.325994966266304,0.0373740110034374,0.02894838511332,0,0.0108105953379494,0.00521909904241514,0.028078280736597,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,12,2500,"2011_2",0.024241249634497,0.00403757354882417,0.0166874632100281,0.373278772041531,0.106485393408062,0.303218567185723,0.0817126848702853,0.0425253057126833,0,0.00239061109288841,0.000259054743940204,0.0451633245515371,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,13,2000,"2011_2",0.0738254754945417,0.00320287946315822,0.0325814109832468,0.404964127753259,0.0579717447472338,0.25675765777832,0.0441815709964512,0.0309170431307567,0,0.013163576184581,0.00307364283373789,0.0762872278009854,0.00307364283372808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,14,1500,"2011_2",0.1065467315473,0.0096629759515084,0.0133673985995667,0.461261917630766,0.00716770101493878,0.306683761972882,0.017812330662576,0.00805411145869887,0,0.00308649317765014,0,0.0663565779841135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,15,1000,"2011_2",0.0987320293160863,0.0219753513044518,0.00717183327869579,0.402815927058909,0,0.298272664398777,0.0536322721831887,0.0215186638142273,0,0,0,0.0887094253669824,0.00717183327868207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_2",2011,2,"Washington","Whitman","Colfax",3,"WW","7/5/11",427.5,356.8,678.9,354.3,46.79413333,-117.4444167,0,0,0,0,0,0,0,0,0,16,59,75,1,5,6,0,0,0,5,25,30,0,0,0,0,0,0,0,0,0,222,18,240,0,16,500,"2011_2",0.0113459687765711,0.0175769041532798,0,0.27895050953894,0,0.461750961725124,0.0694921237331133,0.043021507737394,0,0,0,0.117862024335577,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,17,4000,"2011_3",NA,NA,NA,0.503230156448601,NA,0.246232192425268,0,0.0161676626787659,NA,NA,NA,0.234369988447365,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,18,3500,"2011_3",NA,NA,NA,0.465890608559019,NA,0.265251185306507,0,0.00665685888942312,NA,NA,NA,0.262201347245051,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,19,3000,"2011_3",NA,NA,NA,0.465262134500897,NA,0.255978008595565,0.00149924243759639,0.00750487534191348,NA,NA,NA,0.265772227195709,0.00398351192831919,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,20,2500,"2011_3",NA,NA,NA,0.452969569819419,NA,0.231111847144275,0.0108905946894255,0.0148287624284381,NA,NA,NA,0.275945307655032,0.0142539182634096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,21,2000,"2011_3",NA,NA,NA,0.298435813340113,NA,0.386989427580312,0.00554086936035541,0.031863084265949,NA,NA,NA,0.264888498131353,0.00614656769887009,0.00613573962304725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,22,1500,"2011_3",NA,NA,NA,0.0663697563516756,NA,0.768352282103318,0.0123673529874459,0.0153058478105077,NA,NA,NA,0.137589601440582,0,1.51593064708905e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,23,1000,"2011_3",NA,NA,NA,0.082178376550182,NA,0.916054983961717,0,0,NA,NA,NA,0.00176663948810129,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,24,500,"2011_3",NA,NA,NA,0.00990346253614712,NA,0.990096537463853,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,89,4000,"2011_3",NA,NA,NA,0.503230156448601,NA,0.246232192425268,0,0.0161676626787659,NA,NA,NA,0.234369988447365,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,90,3500,"2011_3",NA,NA,NA,0.465890608559019,NA,0.265251185306507,0,0.00665685888942312,NA,NA,NA,0.262201347245051,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,91,3000,"2011_3",NA,NA,NA,0.465262134500897,NA,0.255978008595565,0.00149924243759639,0.00750487534191348,NA,NA,NA,0.265772227195709,0.00398351192831919,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,92,2500,"2011_3",NA,NA,NA,0.452969569819419,NA,0.231111847144275,0.0108905946894255,0.0148287624284381,NA,NA,NA,0.275945307655032,0.0142539182634096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,93,2000,"2011_3",NA,NA,NA,0.298435813340113,NA,0.386989427580312,0.00554086936035541,0.031863084265949,NA,NA,NA,0.264888498131353,0.00614656769887009,0.00613573962304725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,94,1500,"2011_3",NA,NA,NA,0.0663697563516756,NA,0.768352282103318,0.0123673529874459,0.0153058478105077,NA,NA,NA,0.137589601440582,0,1.51593064708905e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,95,1000,"2011_3",NA,NA,NA,0.082178376550182,NA,0.916054983961717,0,0,NA,NA,NA,0.00176663948810129,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_3",2011,3,"Washington","Adams","Ritzville",6,"WW","6/17/11",NA,NA,476.05,168.1,47.14295,-118.4674167,0,0,0,0,0,0,2,1,3,22,19,41,1,2,3,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,104,18,117,1,96,500,"2011_3",NA,NA,NA,0.00990346253614712,NA,0.990096537463853,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_7",2011,7,"Washington","Walla Walla","Prescott",6,"WW","6/22/11",520.5,256.6,811.2,256.6,46.23008333,-118.6185167,0,0,0,0,0,0,0,1,1,10,28,38,0,5,5,0,0,0,0,2,2,2,1,3,0,0,0,0,0,0,98,0,98,0,49,4000,"2011_7",NA,NA,NA,0.508430615293186,NA,0.0106126150180579,0.419831820782568,0.0124807079584835,NA,0,0,0.00286999160106768,0.0457742493466374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_7",2011,7,"Washington","Walla Walla","Prescott",6,"WW","6/22/11",520.5,256.6,811.2,256.6,46.23008333,-118.6185167,0,0,0,0,0,0,0,1,1,10,28,38,0,5,5,0,0,0,0,2,2,2,1,3,0,0,0,0,0,0,98,0,98,0,50,3500,"2011_7",NA,NA,NA,0.484712608340735,NA,0.0153461825431878,0.449798631936512,0.0180468334568007,NA,0,0,0.000164690014499775,0.0319310537082653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_7",2011,7,"Washington","Walla Walla","Prescott",6,"WW","6/22/11",520.5,256.6,811.2,256.6,46.23008333,-118.6185167,0,0,0,0,0,0,0,1,1,10,28,38,0,5,5,0,0,0,0,2,2,2,1,3,0,0,0,0,0,0,98,0,98,0,51,3000,"2011_7",NA,NA,NA,0.473572056845976,NA,0.0321319268426675,0.454565134768873,0.0131052583714692,NA,0,0,0,0.0266256231710144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_7",2011,7,"Washington","Walla Walla","Prescott",6,"WW","6/22/11",520.5,256.6,811.2,256.6,46.23008333,-118.6185167,0,0,0,0,0,0,0,1,1,10,28,38,0,5,5,0,0,0,0,2,2,2,1,3,0,0,0,0,0,0,98,0,98,0,52,2500,"2011_7",NA,NA,NA,0.486873834350091,NA,0.0218164884848516,0.477261195147131,0.00357234733184332,NA,0,0,0,0.0104761346860835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_7",2011,7,"Washington","Walla Walla","Prescott",6,"WW","6/22/11",520.5,256.6,811.2,256.6,46.23008333,-118.6185167,0,0,0,0,0,0,0,1,1,10,28,38,0,5,5,0,0,0,0,2,2,2,1,3,0,0,0,0,0,0,98,0,98,0,53,2000,"2011_7",NA,NA,NA,0.47874437837687,NA,0.0249913866385508,0.463526728103258,0.0142250627106382,NA,0,0.00102140986565744,0,0.0174910343050256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_7",2011,7,"Washington","Walla Walla","Prescott",6,"WW","6/22/11",520.5,256.6,811.2,256.6,46.23008333,-118.6185167,0,0,0,0,0,0,0,1,1,10,28,38,0,5,5,0,0,0,0,2,2,2,1,3,0,0,0,0,0,0,98,0,98,0,54,1500,"2011_7",NA,NA,NA,0.472153390137582,NA,0.0192462360900358,0.426135676967874,0.0172060613239018,NA,0,0.0071730568500394,0,0.0580855786305675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
