site_year,Year,Date,CDD,CP,PrecipZone,ringfinal,Lat,Long,Spring Wheat,Winter Wheat,allwheat,Fallow,AllCereal ,AllGrasslands,AllLegumes,LULCRich,LULCSimD,LULCeven,AphRich,AphSimD,AphAbund,Apheven,TotAph,Mfc,TotAphNoMfc,RelAbundMfc,month,JulianDate,TotDn,Totsg,TotRp,TotSa,TotMd,TotRm,TotMfc,TotSe,TotAm,TotRi
2011_16,2011,7/5/2011,627.3,306.8,High,1500,46.2487,-117.2612667,0.137533224,0.504607321,0.642140545,0.14328067,0,0.085334588,0,7,0.693333003,0.777303302,4,0.410204082,70,0.546481672,72,present,59,18.05555556,July,186,0,0,1,52,4,0,13,0,0,0
2011_16,2011,7/5/2011,627.3,306.8,High,2000,46.2487,-117.2612667,0.173713639,0.418149826,0.591863465,0.174443161,0.008915771,0.053923062,0,8,0.744620606,0.77284921,4,0.410204082,70,0.546481672,72,present,59,18.05555556,July,186,0,0,1,52,4,0,13,0,0,0
2011_16,2011,7/5/2011,627.3,306.8,High,2500,46.2487,-117.2612667,0.060968257,0.372785922,0.433754179,0.212009457,0.007417032,0.123505091,0.004550428,9,0.764970039,0.761033579,4,0.410204082,70,0.546481672,72,present,59,18.05555556,July,186,0,0,1,52,4,0,13,0,0,0
2011_16,2011,7/5/2011,627.3,306.8,High,3000,46.2487,-117.2612667,0.011181737,0.329034537,0.340216274,0.254846901,0,0.148560238,0.004045059,9,0.765296691,0.738619216,4,0.410204082,70,0.546481672,72,present,59,18.05555556,July,186,0,0,1,52,4,0,13,0,0,0
2011_16,2011,7/5/2011,627.3,306.8,High,3500,46.2487,-117.2612667,0,0.390748351,0.390748351,0.242577986,0,0.152496932,4.85E-05,8,0.748549572,0.752829976,4,0.410204082,70,0.546481672,72,present,59,18.05555556,July,186,0,0,1,52,4,0,13,0,0,0
2011_16,2011,7/5/2011,627.3,306.8,High,4000,46.2487,-117.2612667,0,0.377882181,0.377882181,0.2514811,0.005943279,0.192422854,0,8,0.757422597,0.770951007,4,0.410204082,70,0.546481672,72,present,59,18.05555556,July,186,0,0,1,52,4,0,13,0,0,0
2011_18,2011,7/1/2011,547.8,473,High,500,46.74795,-117.0086,0,0.47157382,0.47157382,0,0,0.087095181,0.132932625,7,0.717673046,0.792081299,4,0.231552739,94,0.357172848,95,present,91,4.210526316,July,182,0,0,1,82,7,0,4,0,0,0
2011_18,2011,7/1/2011,547.8,473,High,1000,46.74795,-117.0086,0,0.551395543,0.551395543,0.020168732,0,0.056673157,0.082760805,10,0.661396607,0.674866823,4,0.231552739,94,0.357172848,95,present,91,4.210526316,July,182,0,0,1,82,7,0,4,0,0,0
2011_18,2011,7/1/2011,547.8,473,High,1500,46.74795,-117.0086,0,0.375977133,0.375977133,0.039635223,0.022716336,0.136754692,0.173491736,12,0.795426852,0.777390136,4,0.231552739,94,0.357172848,95,present,91,4.210526316,July,182,0,0,1,82,7,0,4,0,0,0
2011_18,2011,7/1/2011,547.8,473,High,2000,46.74795,-117.0086,0.006152024,0.137713448,0.143865472,0,0.033078912,0.155695963,0.241816659,16,0.852426862,0.759400866,4,0.231552739,94,0.357172848,95,present,91,4.210526316,July,182,0,0,1,82,7,0,4,0,0,0
2011_18,2011,7/1/2011,547.8,473,High,2500,46.74795,-117.0086,0,0.13929674,0.13929674,0,0.083814385,0.146721484,0.203958835,15,0.875009287,0.826246546,4,0.231552739,94,0.357172848,95,present,91,4.210526316,July,182,0,0,1,82,7,0,4,0,0,0
2011_18,2011,7/1/2011,547.8,473,High,3000,46.74795,-117.0086,0.006134951,0.169249582,0.175384533,0.005720842,0.136173352,0.140914431,0.12793756,19,0.89434112,0.838429532,4,0.231552739,94,0.357172848,95,present,91,4.210526316,July,182,0,0,1,82,7,0,4,0,0,0
2011_18,2011,7/1/2011,547.8,473,High,3500,46.74795,-117.0086,0.012528182,0.119650736,0.132178918,0.002028402,0.152883542,0.169888214,0.102890853,19,0.886372781,0.812261885,4,0.231552739,94,0.357172848,95,present,91,4.210526316,July,182,0,0,1,82,7,0,4,0,0,0
2011_18,2011,7/1/2011,547.8,473,High,4000,46.74795,-117.0086,0.011007246,0.121716877,0.132724123,0.00882851,0.147721508,0.191927784,0.090816037,18,0.886269731,0.83169107,4,0.231552739,94,0.357172848,95,present,91,4.210526316,July,182,0,0,1,82,7,0,4,0,0,0
2011_19,2011,6/17/2011,506.1,166.9,Medium,500,46.92105,-118.3971,0.038859584,0.808418293,0.847277877,0.152722124,0,0,0,3,0.32162575,0.532441835,3,0.278876171,31,0.475467969,49,absent,49,0,June,168,0,0,0,26,1,4,0,0,0,0
2011_19,2011,6/17/2011,506.1,166.9,Medium,1000,46.92105,-118.3971,0.190989518,0.570069376,0.761058894,0.224554752,0,0,0,4,0.587912107,0.745010385,3,0.278876171,31,0.475467969,49,absent,49,0,June,168,0,0,0,26,1,4,0,0,0,0
2011_19,2011,6/17/2011,506.1,166.9,Medium,1500,46.92105,-118.3971,0.172747287,0.560521676,0.733268963,0.243646473,0,0.009136268,0,7,0.59640443,0.556732114,3,0.278876171,31,0.475467969,49,absent,49,0,June,168,0,0,0,26,1,4,0,0,0,0
2011_19,2011,6/17/2011,506.1,166.9,Medium,2000,46.92105,-118.3971,0.120049452,0.584156385,0.704205837,0.245516033,0,0.023171073,0.006150313,9,0.583384157,0.519572384,3,0.278876171,31,0.475467969,49,absent,49,0,June,168,0,0,0,26,1,4,0,0,0,0
2011_19,2011,6/17/2011,506.1,166.9,Medium,2500,46.92105,-118.3971,0.106985192,0.556431478,0.66341667,0.24531942,0,0.063681055,0.008528074,8,0.614450466,0.584770492,3,0.278876171,31,0.475467969,49,absent,49,0,June,168,0,0,0,26,1,4,0,0,0,0
2011_19,2011,6/17/2011,506.1,166.9,Medium,3000,46.92105,-118.3971,0.075259651,0.474489564,0.549749215,0.369859406,0,0.052734976,0.000846706,8,0.629235307,0.575361792,3,0.278876171,31,0.475467969,49,absent,49,0,June,168,0,0,0,26,1,4,0,0,0,0
2011_19,2011,6/17/2011,506.1,166.9,Medium,3500,46.92105,-118.3971,0.05900251,0.346329348,0.405331858,0.548852239,0,0.039597066,0,6,0.573734434,0.571756529,3,0.278876171,31,0.475467969,49,absent,49,0,June,168,0,0,0,26,1,4,0,0,0,0
2011_19,2011,6/17/2011,506.1,166.9,Medium,4000,46.92105,-118.3971,0.04542097,0.262303937,0.307724907,0.661546051,0,0.02395829,0,6,0.49089319,0.498159316,3,0.278876171,31,0.475467969,49,absent,49,0,June,168,0,0,0,26,1,4,0,0,0,0
2011_2,2011,7/5/2011,678.9,354.3,High,500,46.79413333,-117.4444167,0.342282393,0.473287586,0.815569979,0.1318744,0,0.052555621,0,4,0.638688674,0.824350885,3,0.467494522,111,0.706326253,129,present,99,23.25581395,July,186,0,0,0,75,6,0,30,0,0,0
2011_2,2011,7/5/2011,678.9,354.3,High,1000,46.79413333,-117.4444167,0.253083174,0.404780926,0.6578641,0.150415393,0.071245198,0.064340675,0.041744683,8,0.739098496,0.761700776,3,0.467494522,111,0.706326253,129,present,99,23.25581395,July,186,0,0,0,75,6,0,30,0,0,0
2011_2,2011,7/5/2011,678.9,354.3,High,1500,46.79413333,-117.4444167,0.354733142,0.359704011,0.714437153,0.103804713,0.113709762,0.01889462,0.044217759,9,0.720020309,0.684851541,3,0.467494522,111,0.706326253,129,present,99,23.25581395,July,186,0,0,0,75,6,0,30,0,0,0
2011_2,2011,7/5/2011,678.9,354.3,High,2000,46.79413333,-117.4444167,0.225121108,0.375378635,0.600499743,0.112684081,0.094483747,0.042819422,0.120141772,10,0.776324613,0.762984332,3,0.467494522,111,0.706326253,129,present,99,23.25581395,July,186,0,0,0,75,6,0,30,0,0,0
2011_2,2011,7/5/2011,678.9,354.3,High,2500,46.79413333,-117.4444167,0.35061274,0.344394517,0.695007257,0.031144418,0.018217905,0.08834802,0.115579523,10,0.73593105,0.688328023,3,0.467494522,111,0.706326253,129,present,99,23.25581395,July,186,0,0,0,75,6,0,30,0,0,0
2011_2,2011,7/5/2011,678.9,354.3,High,3000,46.79413333,-117.4444167,0.287274125,0.384386902,0.671661027,0.042773121,0.02780991,0.051794692,0.163728386,12,0.742707125,0.671944528,3,0.467494522,111,0.706326253,129,present,99,23.25581395,July,186,0,0,0,75,6,0,30,0,0,0
2011_2,2011,7/5/2011,678.9,354.3,High,3500,46.79413333,-117.4444167,0.191899387,0.522433494,0.714332881,0.034785885,0.021162721,0.038326865,0.172712798,12,0.663801337,0.58766639,3,0.467494522,111,0.706326253,129,present,99,23.25581395,July,186,0,0,0,75,6,0,30,0,0,0
2011_2,2011,7/5/2011,678.9,354.3,High,4000,46.79413333,-117.4444167,0.302747942,0.454436642,0.757184584,0.01207598,0.013299189,0.047036025,0.155136278,12,0.681891519,0.573111694,3,0.467494522,111,0.706326253,129,present,99,23.25581395,July,186,0,0,0,75,6,0,30,0,0,0
2011_20,2011,6/17/2011,677.6,126.1,low,500,46.66435,-118.8965833,0.20995782,0.44880188,0.6587597,0.006198789,0,0.043525046,0,9,0.726317803,0.727498209,4,0.261240665,81,0.379624991,99,present,90,9.090909091,June,168,0,0,2,69,1,0,9,0,0,0
2011_20,2011,6/17/2011,677.6,126.1,low,1000,46.66435,-118.8965833,0.279885947,0.297936802,0.577822749,0.04288853,0.04192368,0.013342729,0,12,0.806408022,0.781605213,4,0.261240665,81,0.379624991,99,present,90,9.090909091,June,168,0,0,2,69,1,0,9,0,0,0
2011_20,2011,6/17/2011,677.6,126.1,low,1500,46.66435,-118.8965833,0.338370565,0.096167946,0.434538511,0.050406056,0.042171348,0.041443841,0.02595117,20,0.836548337,0.765478746,4,0.261240665,81,0.379624991,99,present,90,9.090909091,June,168,0,0,2,69,1,0,9,0,0,0
2011_20,2011,6/17/2011,677.6,126.1,low,2000,46.66435,-118.8965833,0.444474981,0.064944385,0.509419366,0.005874383,0.030814004,0.024034445,0.014180289,18,0.761522651,0.683105903,4,0.261240665,81,0.379624991,99,present,90,9.090909091,June,168,0,0,2,69,1,0,9,0,0,0
2011_20,2011,6/17/2011,677.6,126.1,low,2500,46.66435,-118.8965833,0.437889798,0.102371733,0.540261531,0.00989169,0.02729353,0.009765526,0.042339899,20,0.757684469,0.641260216,4,0.261240665,81,0.379624991,99,present,90,9.090909091,June,168,0,0,2,69,1,0,9,0,0,0
2011_20,2011,6/17/2011,677.6,126.1,low,3000,46.66435,-118.8965833,0.32064211,0.106305802,0.426947912,0.017309125,0.052386246,0.011794941,0.089145681,21,0.847106955,0.764466905,4,0.261240665,81,0.379624991,99,present,90,9.090909091,June,168,0,0,2,69,1,0,9,0,0,0
2011_20,2011,6/17/2011,677.6,126.1,low,3500,46.66435,-118.8965833,0.153167825,0.090895433,0.244063258,0.008391522,0.094495905,0.056077957,0.054380414,21,0.905890197,0.833282756,4,0.261240665,81,0.379624991,99,present,90,9.090909091,June,168,0,0,2,69,1,0,9,0,0,0
2011_20,2011,6/17/2011,677.6,126.1,low,4000,46.66435,-118.8965833,0.094233579,0.070856689,0.165090268,0.014640307,0.110136957,0.049926176,0.025566372,23,0.899731644,0.800662592,4,0.261240665,81,0.379624991,99,present,90,9.090909091,June,168,0,0,2,69,1,0,9,0,0,0
2011_21,2011,6/17/2011,653.7,128,low,500,46.54363333,-119.1108833,0,1,1,0,0,0,0,1,0,0,4,0.196143742,292,0.314754551,337,present,320,5.044510386,June,168,0,0,3,261,11,0,17,0,0,0
2011_21,2011,6/17/2011,653.7,128,low,1000,46.54363333,-119.1108833,0,1,1,0,0,0,0,1,0,0,4,0.196143742,292,0.314754551,337,present,320,5.044510386,June,168,0,0,3,261,11,0,17,0,0,0
2011_21,2011,6/17/2011,653.7,128,low,1500,46.54363333,-119.1108833,0.024841879,0.842066923,0.866908802,0.008613688,0.027782224,0,0.015533171,13,0.287736053,0.305656934,4,0.196143742,292,0.314754551,337,present,320,5.044510386,June,168,0,0,3,261,11,0,17,0,0,0
2011_21,2011,6/17/2011,653.7,128,low,2000,46.54363333,-119.1108833,0.055145875,0.430373358,0.485519233,0,0.02885416,0.015961607,0.109410995,14,0.754854623,0.672084131,4,0.196143742,292,0.314754551,337,present,320,5.044510386,June,168,0,0,3,261,11,0,17,0,0,0
2011_21,2011,6/17/2011,653.7,128,low,2500,46.54363333,-119.1108833,0.033209268,0.29879308,0.332002348,0,0.005169084,0.002328679,0.142452008,13,0.782283374,0.67167596,4,0.196143742,292,0.314754551,337,present,320,5.044510386,June,168,0,0,3,261,11,0,17,0,0,0
2011_21,2011,6/17/2011,653.7,128,low,3000,46.54363333,-119.1108833,0.024555905,0.261924258,0.286480163,0,0.000334863,0.011403259,0.142299041,18,0.798261184,0.634370254,4,0.196143742,292,0.314754551,337,present,320,5.044510386,June,168,0,0,3,261,11,0,17,0,0,0
2011_21,2011,6/17/2011,653.7,128,low,3500,46.54363333,-119.1108833,0.027218339,0.134488673,0.161707012,0.051756615,0.011712408,0.007496682,0.177815263,23,0.852392259,0.705066639,4,0.196143742,292,0.314754551,337,present,320,5.044510386,June,168,0,0,3,261,11,0,17,0,0,0
2011_21,2011,6/17/2011,653.7,128,low,4000,46.54363333,-119.1108833,0.006591076,0.078390271,0.084981347,0.024571371,0.025120296,0.015269089,0.17863237,23,0.834785966,0.712254614,4,0.196143742,292,0.314754551,337,present,320,5.044510386,June,168,0,0,3,261,11,0,17,0,0,0
2011_22,2011,6/22/2011,727.9,260.3,Medium,500,45.70185,-118.80785,0,0.636477358,0.636477358,0.250155878,0,0,0,3,0.519466586,0.801688631,4,0.413236212,155,0.578062111,180,present,165,8.333333333,June,173,0,0,4,116,20,0,15,0,0,0
2011_22,2011,6/22/2011,727.9,260.3,Medium,1000,45.70185,-118.80785,0,0.746207489,0.746207489,0.219318392,0,0,0,3,0.393885361,0.607221367,4,0.413236212,155,0.578062111,180,present,165,8.333333333,June,173,0,0,4,116,20,0,15,0,0,0
2011_22,2011,6/22/2011,727.9,260.3,Medium,1500,45.70185,-118.80785,0,0.742482776,0.742482776,0.231675926,0,0,0,3,0.39437782,0.595439018,4,0.413236212,155,0.578062111,180,present,165,8.333333333,June,173,0,0,4,116,20,0,15,0,0,0
2011_22,2011,6/22/2011,727.9,260.3,Medium,2000,45.70185,-118.80785,0.009752593,0.721422021,0.731174614,0.236925878,0,0,0.011631981,6,0.422777137,0.420340946,4,0.413236212,155,0.578062111,180,present,165,8.333333333,June,173,0,0,4,116,20,0,15,0,0,0
2011_22,2011,6/22/2011,727.9,260.3,Medium,2500,45.70185,-118.80785,0.011540198,0.615996391,0.627536589,0.241964294,0,0,0.073643085,7,0.557439482,0.584375582,4,0.413236212,155,0.578062111,180,present,165,8.333333333,June,173,0,0,4,116,20,0,15,0,0,0
2011_22,2011,6/22/2011,727.9,260.3,Medium,3000,45.70185,-118.80785,0.007820754,0.509197198,0.517017952,0.27361396,0,0,0.105927675,7,0.653047341,0.686607977,4,0.413236212,155,0.578062111,180,present,165,8.333333333,June,173,0,0,4,116,20,0,15,0,0,0
2011_22,2011,6/22/2011,727.9,260.3,Medium,3500,45.70185,-118.80785,0,0.491040285,0.491040285,0.321820208,0,0,0.074064175,6,0.643686667,0.696523229,4,0.413236212,155,0.578062111,180,present,165,8.333333333,June,173,0,0,4,116,20,0,15,0,0,0
2011_22,2011,6/22/2011,727.9,260.3,Medium,4000,45.70185,-118.80785,0.001567892,0.469750465,0.471318357,0.35365158,0,0,0.032449892,7,0.639745493,0.621257315,4,0.413236212,155,0.578062111,180,present,165,8.333333333,June,173,0,0,4,116,20,0,15,0,0,0
2011_23,2011,7/15/2011,657.95,487.8,High,500,46.58826667,-116.94665,0.291705318,0.224667893,0.516373211,0,0.122162384,0.357024249,0.004440156,5,0.722022668,0.834627489,4,0.255095332,78,0.401940228,106,present,101,4.716981132,July,196,0,0,3,67,3,0,5,0,0,0
2011_23,2011,7/15/2011,657.95,487.8,High,1000,46.58826667,-116.94665,0.32351037,0.068020137,0.391530507,0.004171023,0.2029885,0.139316172,0.062817761,10,0.788992382,0.74944158,4,0.255095332,78,0.401940228,106,present,101,4.716981132,July,196,0,0,3,67,3,0,5,0,0,0
2011_23,2011,7/15/2011,657.95,487.8,High,1500,46.58826667,-116.94665,0.242982669,0.201632294,0.444614963,0.006986069,0.081886099,0.134715182,0.196538333,12,0.848386181,0.833608658,4,0.255095332,78,0.401940228,106,present,101,4.716981132,July,196,0,0,3,67,3,0,5,0,0,0
2011_23,2011,7/15/2011,657.95,487.8,High,2000,46.58826667,-116.94665,0.206731906,0.324404707,0.531136613,0.040385232,0.032536029,0.043616979,0.235492898,11,0.80772438,0.789632255,4,0.255095332,78,0.401940228,106,present,101,4.716981132,July,196,0,0,3,67,3,0,5,0,0,0
2011_23,2011,7/15/2011,657.95,487.8,High,2500,46.58826667,-116.94665,0.153197822,0.230502397,0.383700219,0.04556057,0.062095856,0.038564324,0.403809337,13,0.82121754,0.785997364,4,0.255095332,78,0.401940228,106,present,101,4.716981132,July,196,0,0,3,67,3,0,5,0,0,0
2011_23,2011,7/15/2011,657.95,487.8,High,3000,46.58826667,-116.94665,0.175707239,0.183911877,0.359619116,0.030552676,0.059325879,0.041143433,0.446123315,14,0.752296708,0.661464526,4,0.255095332,78,0.401940228,106,present,101,4.716981132,July,196,0,0,3,67,3,0,5,0,0,0
2011_23,2011,7/15/2011,657.95,487.8,High,3500,46.58826667,-116.94665,0.232030065,0.190303853,0.422333918,0,0.025782334,0.054486899,0.426196098,14,0.733912959,0.622309053,4,0.255095332,78,0.401940228,106,present,101,4.716981132,July,196,0,0,3,67,3,0,5,0,0,0
2011_23,2011,7/15/2011,657.95,487.8,High,4000,46.58826667,-116.94665,0.291096438,0.21061331,0.501709748,0.005989838,0.013067601,0.054159281,0.358647699,14,0.741380348,0.605894631,4,0.255095332,78,0.401940228,106,present,101,4.716981132,July,196,0,0,3,67,3,0,5,0,0,0
2011_3,2011,6/17/2011,476.05,168.1,Medium,500,47.14295,-118.4674167,0.990664419,0.009335581,1,0,0,0,0,2,0.018496856,0.076300545,4,0.382342471,53,0.555565879,71,present,65,8.450704225,June,168,0,0,3,41,3,0,6,0,0,0
2011_3,2011,6/17/2011,476.05,168.1,Medium,1000,47.14295,-118.4674167,0.916362913,0.082072737,0.99843565,0.001564351,0,0,0,3,0.153540632,0.268746667,4,0.382342471,53,0.555565879,71,present,65,8.450704225,June,168,0,0,3,41,3,0,6,0,0,0
2011_3,2011,6/17/2011,476.05,168.1,Medium,1500,47.14295,-118.4674167,0.76988713,0.066341196,0.836228326,0.136523736,0,0.012251926,0,6,0.383859141,0.429786467,4,0.382342471,53,0.555565879,71,present,65,8.450704225,June,168,0,0,3,41,3,0,6,0,0,0
2011_3,2011,6/17/2011,476.05,168.1,Medium,2000,47.14295,-118.4674167,0.388300354,0.297110743,0.685411097,0.264720543,0,0.005559397,0,7,0.689739707,0.658457904,4,0.382342471,53,0.555565879,71,present,65,8.450704225,June,168,0,0,3,41,3,0,6,0,0,0
2011_3,2011,6/17/2011,476.05,168.1,Medium,2500,47.14295,-118.4674167,0.231212908,0.452804323,0.684017231,0.275978531,0,0.010900214,0,6,0.664802111,0.683627882,4,0.382342471,53,0.555565879,71,present,65,8.450704225,June,168,0,0,3,41,3,0,6,0,0,0
2011_3,2011,6/17/2011,476.05,168.1,Medium,3000,47.14295,-118.4674167,0.255857715,0.46528368,0.721141395,0.265782939,0,0.001542851,0,6,0.647332398,0.62829395,4,0.382342471,53,0.555565879,71,present,65,8.450704225,June,168,0,0,3,41,3,0,6,0,0,0
2011_3,2011,6/17/2011,476.05,168.1,Medium,3500,47.14295,-118.4674167,0.265240412,0.465889018,0.73112943,0.262209826,0,0,0,4,0.643796588,0.7877371,4,0.382342471,53,0.555565879,71,present,65,8.450704225,June,168,0,0,3,41,3,0,6,0,0,0
2011_3,2011,6/17/2011,476.05,168.1,Medium,4000,47.14295,-118.4674167,0.246381785,0.503110357,0.749492142,0.234378336,0,0,0,4,0.630982619,0.791440815,4,0.382342471,53,0.555565879,71,present,65,8.450704225,June,168,0,0,3,41,3,0,6,0,0,0
